     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  5.099499053E+008   5.520243887E-006   4.065094235E+002   7.094428049E-012  -8.376908232E-013   1.983712417E-005   3.617438186E-008   4.580153182E-010   1.412883026E-006   2.128663959E-005   8.504566078E-009   2.773384215E+001   2.528729941E-001   2.648444508E-002   2.561364123E-003   3.950640675E+000   3.196640163E+001  -8.610437808E-009   1.681317724E-008 
  5.276957577E+008   5.721842866E-006   4.603829101E+002   7.094428049E-012  -8.544286988E-013   1.974181086E-005   4.116626068E-008   4.624485831E-010   1.503200023E-006   2.128663959E-005   8.504776337E-009   2.746797158E+001   2.863855009E-001   2.648519259E-002   2.573730369E-003   4.182985625E+000   3.196640163E+001  -1.088705665E-008   1.681359543E-008 
  5.454416100E+008   5.924431501E-006   5.193614428E+002   7.094428049E-012  -8.942807836E-013   1.964379457E-005   4.667169070E-008   4.670750394E-010   1.595706255E-006   2.128663959E-005   8.504951899E-009   2.719589673E+001   3.230736496E-001   2.648625591E-002   2.586572465E-003   4.418358417E+000   3.196640163E+001  -1.363358552E-008   1.681398229E-008 
  5.631874624E+008   6.128047431E-006   5.837178082E+002   7.094428049E-012  -9.273010825E-013   1.954311646E-005   5.272521216E-008   4.718997929E-010   1.690326024E-006   2.128663959E-005   8.505126823E-009   2.691784301E+001   3.631071294E-001   2.648773682E-002   2.599897425E-003   4.656363856E+000   3.196640162E+001  -1.691561680E-008   1.681437665E-008 
  5.809333148E+008   6.332728854E-006   6.537258022E+002   7.094428049E-012  -9.654452208E-013   1.943981878E-005   5.936256080E-008   4.769282000E-010   1.786981320E-006   2.128663959E-005   8.505291720E-009   2.663403954E+001   4.066562578E-001   2.648976081E-002   2.613712541E-003   4.896602346E+000   3.196640162E+001  -2.080267323E-008   1.681476684E-008 
  5.986791672E+008   6.538514554E-006   7.296596008E+002   7.094428049E-012  -9.933416802E-013   1.933394492E-005   6.662067629E-008   4.821658776E-010   1.885591829E-006   2.128663959E-005   8.505467918E-009   2.634471896E+001   4.538915883E-001   2.649248031E-002   2.628025391E-003   5.138670561E+000   3.196640162E+001  -2.536940032E-008   1.681517390E-008 
  6.164250195E+008   6.745443922E-006   8.117931256E+002   7.094428049E-012  -1.026361979E-012   1.922553932E-005   7.453771081E-008   4.876187126E-010   1.986074944E-006   2.128663959E-005   8.505641729E-009   2.605011705E+001   5.049835167E-001   2.649607784E-002   2.642843840E-003   5.382162123E+000   3.196640161E+001  -3.069789262E-008   1.681557875E-008 
  6.341708719E+008   6.953556977E-006   9.003994074E+002   7.094428049E-012  -1.036381932E-012   1.911464749E-005   8.315303789E-008   4.932928724E-010   2.088345776E-006   2.128663959E-005   8.505838459E-009   2.575047249E+001   5.601018841E-001   2.650076899E-002   2.658176050E-003   5.626668289E+000   3.196640160E+001  -3.687969273E-008   1.681600152E-008 
  6.519167243E+008   7.162894390E-006   9.957499467E+002   7.094428049E-012  -1.056307974E-012   1.900131598E-005   9.250726150E-008   4.991948161E-010   2.192317160E-006   2.128663959E-005   8.506031688E-009   2.544602654E+001   6.194155801E-001   2.650680495E-002   2.674030484E-003   5.871778640E+000   3.196640160E+001  -4.401756965E-008   1.681641521E-008 
  6.696625767E+008   7.373497509E-006   1.098114075E+003   7.094428049E-012  -1.061659540E-012   1.888559237E-005   1.026422254E-007   5.053313054E-010   2.297899670E-006   2.128663959E-005   8.506241629E-009   2.513702279E+001   6.830921448E-001   2.651447467E-002   2.690415909E-003   6.117081768E+000   3.196640159E+001  -5.222673968E-008   1.681684288E-008 
  6.874084290E+008   7.585408384E-006   1.207758317E+003   7.094428049E-012  -1.072590397E-012   1.876752523E-005   1.136010227E-007   5.117094174E-010   2.405001627E-006   2.128663959E-005   8.506458574E-009   2.482370679E+001   7.512973723E-001   2.652410645E-002   2.707341406E-003   6.362165972E+000   3.196640158E+001  -6.163221226E-008   1.681730264E-008 
  7.051542814E+008   7.798669788E-006   1.324945754E+003   7.094428049E-012  -1.092630303E-012   1.864716414E-005   1.254280057E-007   5.183365566E-010   2.513529110E-006   2.128663959E-005   8.506671221E-009   2.450632582E+001   8.241949152E-001   2.653606895E-002   2.724816373E-003   6.606619951E+000   3.196640157E+001  -7.236393735E-008   1.681778198E-008 
  7.229001338E+008   8.013325248E-006   1.449935394E+003   7.094428049E-012  -1.096387785E-012   1.852455961E-005   1.381687957E-007   5.252204681E-010   2.623385968E-006   2.128663959E-005   8.506910608E-009   2.418512855E+001   9.019458911E-001   2.655077153E-002   2.742850531E-003   6.850033491E+000   3.196640156E+001  -8.455343831E-008   1.681832517E-008 
  7.406459862E+008   8.229419063E-006   1.582981541E+003   7.094428049E-012  -1.115289060E-012   1.839976310E-005   1.518702934E-007   5.323692517E-010   2.734473829E-006   2.128663959E-005   8.507146494E-009   2.386036477E+001   9.847084929E-001   2.656866403E-002   2.761453931E-003   7.091998158E+000   3.196640154E+001  -9.833113639E-008   1.681890295E-008 
