     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  4.927739974E+008   5.326027392E-006   3.589724526E+002   6.123538072E-023   1.310255490E-018   4.136042702E-022   2.202017490E-026   6.268422729E-017   4.125858417E-024   6.268423141E-017   5.336769336E-019   2.132901150E-019   1.726103455E-024   7.469687747E-019   8.740563798E-026   1.503246225E-032   9.157466344E-025   4.702529612E-031   8.335360503E-018   2.397925415E-050   1.318985668E-032   1.366071638E-021 
  5.099499053E+008   5.520243887E-006   4.065094235E+002   1.034713310E-022   1.499646905E-018   4.914694243E-022   2.549218714E-026   7.639160403E-017   1.885956007E-023   7.639162289E-017   6.470199087E-019   2.540648386E-019   5.496407632E-024   9.010902438E-019   8.882747734E-026   1.669749584E-032   9.250510438E-025   4.946713520E-031   9.003378687E-018   2.372397427E-047   1.325588339E-032   1.713775923E-021 
  5.276957577E+008   5.721842866E-006   4.603829101E+002   1.709638370E-022   1.717299832E-018   5.817844911E-022   2.948774103E-026   9.318739706E-017   7.569933085E-023   9.318747276E-017   7.836934753E-019   3.025603319E-019   1.588164471E-023   1.086269689E-018   9.016263314E-026   1.828474867E-032   9.340960842E-025   5.172985594E-031   9.645645021E-018   1.043806715E-044   1.326340230E-032   2.099605027E-021 
  5.454416100E+008   5.924431501E-006   5.193614428E+002   2.729682776E-022   1.959094869E-018   6.829500774E-022   3.393141011E-026   1.129607822E-016   2.601729472E-022   1.129610424E-016   9.424870374E-019   3.581411287E-019   4.083838542E-023   1.300669004E-018   9.138871467E-026   1.973768233E-032   9.426937677E-025   5.376430157E-031   1.024217494E-017   1.907572383E-042   1.322147977E-032   2.502795773E-021 
  5.631874624E+008   6.128047431E-006   5.837178082E+002   4.233825406E-022   2.226961986E-018   7.960116824E-022   3.885865371E-026   1.360030081E-016   7.836767615E-022   1.360037918E-016   1.125713202E-018   4.214140131E-019   9.510151723E-023   1.547222317E-018   9.252772782E-026   2.106342824E-032   9.509511392E-025   5.560365290E-031   1.079672598E-017   1.675286641E-040   1.314080107E-032   2.914039724E-021 
  5.809333148E+008   6.332728854E-006   6.537258022E+002   6.407564842E-022   2.522940965E-018   9.224679669E-022   4.430701116E-026   1.625968194E-016   2.108802053E-021   1.625989282E-016   1.335750495E-018   4.929756971E-019   2.034719983E-022   1.828929664E-018   9.359749426E-026   2.227246760E-032   9.589557724E-025   5.727720709E-031   1.131333866E-017   7.962179707E-039   1.303040386E-032   3.325213033E-021 
  5.986791672E+008   6.538514554E-006   7.296596008E+002   9.497768235E-022   2.849186727E-018   1.064767661E-021   5.031619307E-026   1.931418885E-016   5.150515217E-021   1.931470390E-016   1.575027430E-018   5.734050324E-019   4.047609770E-022   2.148837224E-018   9.461252846E-026   2.337666794E-032   9.667797948E-025   5.881039714E-031   1.179603468E-017   2.257026896E-037   1.289781980E-032   3.729769314E-021 
  6.164250195E+008   6.745443922E-006   8.117931256E+002   1.383251765E-021   3.207974965E-018   1.227269777E-021   5.692818224E-026   2.281521445E-016   1.156966846E-020   2.281637141E-016   1.846006116E-018   6.632554312E-019   7.561025483E-022   2.510017650E-018   9.558471901E-026   2.438807037E-032   9.744830179E-025   6.022508231E-031   1.224864337E-017   4.133603746E-036   1.274925136E-032   4.122839451E-021 
  6.341708719E+008   6.953556977E-006   9.003994074E+002   1.984752739E-021   3.601708080E-018   1.417987786E-021   6.418735739E-026   2.682197165E-016   2.416854637E-020   2.682438850E-016   2.151165698E-018   7.630476764E-019   1.337391721E-021   2.915550766E-018   9.652385874E-026   2.531819517E-032   9.821154010E-025   6.153994684E-031   1.267471212E-017   5.225100094E-035   1.258975594E-032   4.501124850E-021 
  6.519167243E+008   7.162894390E-006   9.957499467E+002   2.812113666E-021   4.032921457E-018   1.651597689E-021   7.214069903E-026   3.140262852E-016   4.738934752E-020   3.140736745E-016   2.492985940E-018   8.732632854E-019   2.255623657E-021   3.368504849E-018   9.743805906E-026   2.617768548E-032   9.897189790E-025   6.277092066E-031   1.307746951E-017   4.815448722E-034   1.242342166E-032   4.862673960E-021 
