     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  5.189552545E+011   8.222532226E-003   9.999958978E+000   5.119019964E-026   1.957956511E-024   5.317307855E-031   1.146396768E-030   1.970531183E-022   4.092038642E-166   1.970531183E-022   3.184284807E-026   7.771694012E-027   1.053773155E-132   3.961454209E-026   1.881780809E-029   1.803705072E-051   1.219408812E-025   2.265195867E-038   1.737628902E-031   0.000000000E+000   2.989235089E-035   1.770682655E-048 
  7.056746058E+011   1.118098745E-002   9.999944220E+000   6.648778040E-026   1.957952156E-024   5.317205785E-031   1.146451303E-030   1.970526150E-022   4.090149509E-166   1.970526150E-022   3.184268742E-026   7.771643923E-027   1.053405914E-132   3.961433135E-026   1.936703761E-029   2.078144570E-051   1.219404401E-025   2.265159024E-038   1.737569570E-031   0.000000000E+000   2.995485854E-035   2.139154584E-048 
  1.260321397E+012   1.996903050E-002   9.999900382E+000   1.045236990E-025   1.957939221E-024   5.316902602E-031   1.146613293E-030   1.970511199E-022   4.084543274E-166   1.970511199E-022   3.184223893E-026   7.771496905E-027   1.052315835E-132   3.961373584E-026   2.064012865E-029   2.842354339E-051   1.219391302E-025   2.265049584E-038   1.737393346E-031   0.000000000E+000   3.021305070E-035   3.249306130E-048 
  1.781287783E+012   2.822342787E-002   9.999859209E+000   1.325645067E-025   1.957927072E-024   5.316617842E-031   1.146765441E-030   1.970497157E-022   4.079284717E-166   1.970497157E-022   3.184174528E-026   7.771354842E-027   1.051293027E-132   3.961310012E-026   2.146077054E-029   3.442623244E-051   1.219378998E-025   2.264946792E-038   1.737227849E-031   0.000000000E+000   3.051796958E-035   4.196433553E-048 
  2.302254168E+012   3.647782525E-002   9.999818038E+000   1.552291017E-025   1.957914923E-024   5.316333087E-031   1.146917582E-030   1.970483116E-022   4.074033080E-166   1.970483116E-022   3.184126026E-026   7.771213615E-027   1.050271241E-132   3.961247388E-026   2.202958605E-029   3.914596767E-051   1.219366695E-025   2.264844000E-038   1.737062374E-031   0.000000000E+000   3.085342680E-035   4.981687186E-048 
  3.115854686E+012   4.936883350E-002   9.999753741E+000   1.829479770E-025   1.957895951E-024   5.315888383E-031   1.147155169E-030   1.970461188E-022   4.065845218E-166   1.970461188E-022   3.184055998E-026   7.770996378E-027   1.048677523E-132   3.961155635E-026   2.259426211E-029   4.432502377E-051   1.219347481E-025   2.264683464E-038   1.736803987E-031   0.000000000E+000   3.139754337E-035   5.880640184E-048 
  4.357404237E+012   6.904043543E-002   9.999655628E+000   2.132564748E-025   1.957867001E-024   5.315209763E-031   1.147517694E-030   1.970427727E-022   4.053382488E-166   1.970427727E-022   3.183949209E-026   7.770665451E-027   1.046250217E-132   3.961015755E-026   2.304484756E-029   4.883597317E-051   1.219318163E-025   2.264438477E-038   1.736409771E-031   0.000000000E+000   3.220655515E-035   6.693036223E-048 
  5.598953788E+012   8.871203735E-002   9.999557518E+000   2.344455579E-025   1.957838051E-024   5.314531137E-031   1.147880180E-030   1.970394267E-022   4.040958040E-166   1.970394267E-022   3.183835713E-026   7.770332504E-027   1.043828544E-132   3.960868964E-026   2.327246412E-029   5.124997037E-051   1.219288845E-025   2.264193480E-038   1.736015647E-031   0.000000000E+000   3.294472199E-035   7.138360670E-048 
  7.541416135E+012   1.194891787E-001   9.999404024E+000   2.567918311E-025   1.957792759E-024   5.313469403E-031   1.148447228E-030   1.970341920E-022   4.021595784E-166   1.970341920E-022   3.183671254E-026   7.769818052E-027   1.040050966E-132   3.960653059E-026   2.346592722E-029   5.337682745E-051   1.219242977E-025   2.263810158E-038   1.735399197E-031   0.000000000E+000   3.393028419E-035   7.536546544E-048 
  8.537765270E+012   1.352757282E-001   9.999325294E+000   2.649671694E-025   1.957769528E-024   5.312924823E-031   1.148738046E-030   1.970315070E-022   4.011700294E-166   1.970315070E-022   3.183567708E-026   7.769549010E-027   1.038118633E-132   3.960522609E-026   2.353282975E-029   5.412896601E-051   1.219219451E-025   2.263613540E-038   1.735083082E-031   0.000000000E+000   3.435931002E-035   7.678632808E-048 
