     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  4.411158058E+008   4.747013335E-006   2.408457663E+002   7.083904371E-019   4.552301372E-060   2.447970653E-060   5.384014527E-060   7.490326699E-060   6.862474989E-032   6.703745698E-028   6.993821330E-018   2.179097457E-017   5.704193587E-030   1.924426841E-030   1.142425274E-026   8.073854779E-027   1.082166576E-014   9.922647326E-016   6.850827337E-029   2.193445598E-029   1.721781279E-058   2.135107479E-058   1.378926694E-025   3.951667355E-026   3.315256268E-043   6.238808011E-040   1.837002343E-039   1.965594462E-069   1.243202000E-069   2.312269568E-015 
  4.591951374E+008   4.948850898E-006   2.781857673E+002   8.061830438E-019   5.525407503E-060   2.971252189E-060   6.534908793E-060   9.091469119E-060   8.313230976E-032   9.665536580E-028   7.317810515E-018   2.397718433E-017   5.704193587E-030   1.924426841E-030   1.402013659E-026   1.105253590E-026   1.464620416E-014   1.402634225E-015   1.169178968E-028   3.743387966E-029   2.348987295E-053   2.987911843E-053   1.543205393E-025   4.752448097E-026   3.712050918E-043   6.985515186E-040   2.056868514E-039   1.069213305E-062   6.809983951E-063   3.902497570E-015 
  4.772744691E+008   5.151569924E-006   3.197532809E+002   9.071857701E-019   5.525407503E-060   2.971252189E-060   6.534908793E-060   9.091469119E-060   8.313230976E-032   1.334624018E-027   7.640205353E-018   2.620360784E-017   7.774007233E-030   2.622720978E-030   1.690071633E-026   1.460350729E-026   1.924387455E-014   1.910670416E-015   1.605051490E-028   5.138931333E-029   4.698834324E-049   6.105719374E-049   1.708953856E-025   5.596387384E-026   4.108845568E-043   7.732222361E-040   2.276734685E-039   4.811743972E-057   3.082678287E-057   6.204181023E-015 
  4.943022556E+008   5.343337774E-006   3.630185149E+002   1.004924433E-018   5.525407503E-060   2.971252189E-060   6.534908793E-060   9.091469119E-060   8.313230976E-032   1.749434306E-027   7.942749334E-018   2.833400951E-017   9.723434659E-030   3.280400351E-030   1.986244808E-026   1.847403408E-026   2.431570754E-014   2.483970566E-015   1.605051490E-028   5.138931333E-029   1.182987471E-045   1.563533605E-045   1.865554958E-025   6.422386528E-026   4.108845568E-043   7.732222361E-040   2.276734685E-039   1.479533510E-052   9.523124787E-053   9.165896791E-015 
  5.113300422E+008   5.535952925E-006   4.105162352E+002   1.104936269E-018   5.525407503E-060   2.971252189E-060   6.534908793E-060   9.091469119E-060   8.313230976E-032   2.231268951E-027   8.244530826E-018   3.049430523E-017   9.723434659E-030   3.280400351E-030   2.305285379E-026   2.285047004E-026   3.013373763E-014   3.153314518E-015   2.067273373E-028   6.618838072E-029   1.000910947E-042   1.342231554E-042   2.021970090E-025   7.271485463E-026   4.108845568E-043   7.732222361E-040   2.276734685E-039   1.082347277E-048   6.994489670E-049   1.303458372E-014 
  5.283578287E+008   5.729447737E-006   4.624843785E+002   1.207014918E-018   5.525407503E-060   2.971252189E-060   6.534908793E-060   9.091469119E-060   8.313230976E-032   2.779918635E-027   8.545808909E-018   3.268248432E-017   9.723434659E-030   3.280400351E-030   2.645938197E-026   2.772386171E-026   3.671884779E-014   3.921613819E-015   3.272482615E-028   1.047758502E-028   3.253192181E-040   4.417180530E-040   2.177691234E-025   8.137745902E-026   4.996526909E-043   9.402703620E-040   2.768603962E-039   2.277094376E-045   1.476588880E-045   1.793709822E-014 
  5.453856153E+008   5.923855010E-006   5.191627863E+002   1.310990540E-018   5.525407503E-060   2.971252189E-060   6.534908793E-060   9.091469119E-060   8.313230976E-032   3.394363989E-027   8.846813142E-018   3.489692497E-017   9.723437384E-030   3.280401270E-030   3.006972727E-026   3.308244705E-026   4.408810670E-014   4.790955019E-015   4.575379644E-028   1.464910127E-028   4.758154494E-038   6.530079516E-038   2.332324174E-025   9.016133316E-026   5.884208250E-043   1.107318488E-039   3.260473239E-039   1.688895099E-042   1.098409417E-042   2.399219385E-014 
  5.624134018E+008   6.119208006E-006   5.807927102E+002   1.416723725E-018   5.525407507E-060   2.971252192E-060   6.534908797E-060   9.091469130E-060   8.313230976E-032   4.073009381E-027   9.147748175E-018   3.713632550E-017   9.723440108E-030   3.280402189E-030   3.387220948E-026   3.891297699E-026   5.225580598E-014   5.762772513E-015   5.135289314E-028   1.644177730E-028   3.566330672E-036   4.939747170E-036   2.485570678E-025   9.902445808E-026   6.014326886E-043   1.131804836E-039   3.332572715E-039   5.219001647E-040   3.402968708E-040   3.130934072E-014 
  5.794411884E+008   6.315540458E-006   6.476163114E+002   1.524100441E-018   5.525643059E-060   2.971471025E-060   6.535187385E-060   9.092138717E-060   8.313230976E-032   4.813882100E-027   9.448797708E-018   3.939964901E-017   9.723440108E-030   3.280402189E-030   3.785599927E-026   4.520169726E-026   6.123433756E-014   6.838002084E-015   5.135289338E-028   1.644177738E-028   1.524464107E-034   2.128437348E-034   2.637212327E-025   1.079322557E-025   9.461782393E-043   1.780563523E-039   5.242827407E-039   7.711916039E-038   5.039576923E-038   3.998843864E-014 
  5.964689750E+008   6.512886597E-006   7.198761560E+002   1.633027850E-018   8.802587491E-060   6.031843748E-060   1.041083510E-059   1.845629980E-059   8.313230976E-032   5.614793800E-027   9.750127839E-018   4.168607882E-017   1.073968211E-029   3.623252296E-030   4.201123242E-026   5.193504713E-026   7.103491440E-014   8.017211547E-015   5.514290314E-028   1.765523377E-028   4.058783316E-033   5.706123430E-033   2.787096303E-025   1.168566551E-025   1.126033532E-041   2.119023826E-038   6.239415806E-038   6.107375490E-036   3.998728815E-036   5.012018404E-014 
