     distance         timeN            Tn      C+(158m)   C+(2324.7A)   C+(2323.5A)   C+(2328.1A)   C+(2326.9A)   C+(2325.4A)    Si+(34.8m)     C(609.8m)     C(370.4m)      C(9850A)      C(9824A)    Si(129.7m)     Si(68.5m)      O(63.2m)     O(145.3m)      O(6300A)      O(6363A)     S+(6731A)     S+(6716A)    N+(205.3m)    N+(121.8m)     N+(6527A)     N+(6548A)     N+(6583A)      N(5200A)      N(5197A)      S(25.2m) 
  1.325091091E+009   2.099526713E-005   9.999999895E+000   1.781037033E-021   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   1.116654026E-043   1.108404655E-017   1.773945859E-018   1.753135204E-030   5.914561614E-031   2.388607821E-030   5.985027013E-039   1.832365166E-023   2.385521700E-028   4.720507823E-038   1.511376159E-038   0.000000000E+000   0.000000000E+000   3.144240795E-027   2.434040895E-032   1.143106794E-044   2.151153107E-041   6.334019720E-041   0.000000000E+000   0.000000000E+000   4.247050914E-038 
  1.626059913E+009   2.576393614E-005   9.999999871E+000   2.185665211E-021   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   1.370552357E-043   1.360166840E-017   2.176878553E-018   1.911278032E-030   6.448088917E-031   2.931154340E-030   7.344461252E-039   2.248567129E-023   2.927367163E-028   7.175898803E-038   2.297524499E-038   0.000000000E+000   0.000000000E+000   3.858420456E-027   2.986905380E-032   1.220081058E-044   2.296006964E-041   6.760538493E-041   0.000000000E+000   0.000000000E+000   5.211722461E-038 
  2.296361360E+009   3.638445728E-005   9.999999818E+000   3.086943897E-021   6.056566351E-065   3.256879427E-065   7.163111259E-065   9.965434389E-065   9.522844419E-037   1.936370141E-043   1.920877927E-017   3.074268388E-018   2.263485166E-030   7.636332010E-031   4.139484490E-030   1.037211910E-038   3.175509501E-023   4.134135857E-028   7.175898803E-038   2.297524499E-038   0.000000000E+000   0.000000000E+000   5.449001650E-027   4.218212964E-032   1.391513967E-044   2.618617622E-041   7.710457987E-041   0.000000000E+000   0.000000000E+000   7.360186173E-038 
  3.431291408E+009   5.436673767E-005   9.999999729E+000   4.613310841E-021   1.346890164E-062   7.242814843E-063   1.592969273E-062   2.216164206E-062   2.117738788E-034   2.895491433E-043   2.870253547E-017   4.593696178E-018   2.263485166E-030   7.636332010E-031   6.185385019E-030   1.549843797E-038   4.744974375E-023   6.177392269E-028   1.031596949E-037   3.302888359E-038   0.000000000E+000   0.000000000E+000   8.142112700E-027   6.303011292E-032   1.710497328E-044   3.218895786E-041   9.477962921E-041   0.000000000E+000   0.000000000E+000   1.099788535E-037 
  4.993987602E+009   7.912671400E-005   9.999999605E+000   6.715709478E-021   3.193096953E-062   1.717067258E-062   3.776481163E-062   5.253900699E-062   5.020561774E-034   4.218377506E-043   4.177458022E-017   6.685810914E-018   2.427707621E-030   8.190370186E-031   9.002404976E-030   2.255691371E-038   6.905985253E-023   8.990770855E-028   2.330556617E-037   7.461798265E-038   0.000000000E+000   0.000000000E+000   1.185027697E-026   9.173576437E-032   2.694574329E-044   5.070779014E-041   1.493078952E-040   0.000000000E+000   0.000000000E+000   1.600666558E-037 
  6.556683796E+009   1.038866903E-004   9.999999482E+000   8.818952236E-021   3.193096953E-062   1.717067258E-062   3.776481163E-062   5.253900699E-062   5.020561774E-034   5.543886448E-043   5.484662466E-017   8.777925499E-018   2.591930077E-030   8.744408362E-031   1.181942455E-029   2.961538689E-038   9.066995513E-023   1.180414830E-027   3.197156907E-037   1.023641292E-037   0.000000000E+000   0.000000000E+000   1.555843397E-026   1.204412595E-031   3.239440045E-044   6.096133413E-041   1.794992143E-040   0.000000000E+000   0.000000000E+000   2.101544226E-037 
  9.697023125E+009   1.536434682E-004   9.999999233E+000   1.304810388E-020   6.903169170E-062   3.712134624E-062   8.164389844E-062   1.135842909E-061   1.085397273E-033   8.215521495E-043   8.111574464E-017   1.298216496E-017   2.591930077E-030   8.744408362E-031   1.748040688E-029   4.379983839E-038   1.340968389E-022   1.745780922E-027   3.703367756E-037   1.185716017E-037   0.000000000E+000   0.000000000E+000   2.301019506E-026   1.781263651E-031   3.239440045E-044   6.096133413E-041   1.794992143E-040   0.000000000E+000   0.000000000E+000   3.108089305E-037 
  1.327965986E+010   2.104081811E-004   9.999998950E+000   1.787705586E-020   1.113578215E-061   5.988194912E-062   1.317030837E-061   1.832274262E-061   1.750898361E-033   1.127640001E-042   1.110847065E-016   1.777854485E-017   1.991076183E-029   6.717304368E-030   2.393870174E-029   5.998206873E-038   1.836401006E-022   2.390774774E-027   9.732237246E-037   3.115993427E-037   0.000000000E+000   0.000000000E+000   3.151145874E-026   2.439353748E-031   3.239440045E-044   6.096133413E-041   1.794992143E-040   0.000000000E+000   0.000000000E+000   4.256398293E-037 
  2.104858292E+010   3.335020696E-004   9.999998336E+000   2.836375120E-020   2.031417406E-061   1.092381586E-061   2.402560799E-061   3.342480822E-061   3.194032854E-033   1.796144826E-042   1.760721879E-016   2.817945887E-017   5.746652906E-029   1.938751364E-029   3.794346267E-029   9.507307256E-038   2.910742105E-022   3.789437424E-027   2.155347808E-036   6.900828076E-037   0.000000000E+000   0.000000000E+000   4.994628916E-026   3.866395825E-031   3.239440045E-044   6.096133413E-041   1.794992143E-040   0.000000000E+000   0.000000000E+000   6.746492010E-037 
  2.855315715E+010   4.524075108E-004   9.999997743E+000   3.851324121E-020   2.918025793E-061   1.569149518E-061   3.451154037E-061   4.801300423E-061   4.588062613E-033   2.448096735E-042   2.388483693E-016   3.822646325E-017   7.087357093E-029   2.391065453E-029   5.147168239E-029   1.289699867E-037   3.948525748E-022   5.140505869E-027   2.229481260E-036   7.138182902E-037   0.000000000E+000   0.000000000E+000   6.775373692E-026   5.244856910E-031   5.203729565E-044   9.792627501E-041   2.883416131E-040   0.000000000E+000   0.000000000E+000   9.151848365E-037 
